crop_name,adm_id,awc,bulk_density,drainage_class
maize,US-18-027,13.193,1.499,4
maize,US-18-061,12.838,1.45,5
maize,US-18-103,13.444,1.56,5
maize,US-18-129,13.193,1.499,4
maize,US-18-147,12.452,1.466,5
maize,US-18-009,13.308,1.538,5
maize,US-18-035,13.308,1.538,5
maize,US-18-067,13.308,1.538,5
maize,US-18-083,13.132,1.519,5
maize,US-18-159,13.308,1.538,5
maize,US-18-175,12.578,1.423,5
maize,US-18-071,13.181,1.481,5
maize,US-18-179,13.308,1.538,5
maize,US-18-007,15.149,1.495,5
maize,US-18-051,13.135,1.516,4
maize,US-18-123,11.527,1.312,4
maize,US-18-021,14.325,1.589,5
maize,US-18-125,13.089,1.504,4
maize,US-18-053,13.308,1.538,5
maize,US-18-099,13.97,1.589,5
maize,US-18-101,12.467,1.49,5
maize,US-18-003,13.825,1.557,5
maize,US-18-031,13.379,1.542,5
maize,US-18-037,12.175,1.435,4
maize,US-18-041,13.308,1.538,5
maize,US-18-055,13.709,1.519,4
maize,US-18-065,13.308,1.538,5
maize,US-18-075,13.308,1.538,5
maize,US-18-085,13.932,1.591,5
maize,US-18-091,13.419,1.513,4
maize,US-18-109,13.37,1.559,5
maize,US-18-181,13.71,1.539,5
maize,US-18-095,13.308,1.538,5
maize,US-18-097,13.308,1.538,5
maize,US-18-017,13.44,1.57,5
maize,US-18-115,13.007,1.495,5
maize,US-18-119,13.769,1.584,5
maize,US-18-121,13.212,1.572,5
maize,US-18-133,13.562,1.55,5
maize,US-18-157,14.321,1.515,5
maize,US-18-111,13.5,1.51,6
maize,US-18-143,14.088,1.573,5
maize,US-18-171,14.795,1.508,5
maize,US-18-177,13.308,1.538,5
maize,US-18-059,13.308,1.538,5
maize,US-18-173,12.173,1.434,4
maize,US-18-069,13.308,1.538,5
maize,US-18-073,13.309,1.513,6
maize,US-18-029,13.87,1.562,5
maize,US-18-131,12.556,1.545,6
maize,US-18-139,13.308,1.538,5
maize,US-18-105,12.899,1.543,5
maize,US-18-117,12.521,1.417,5
maize,US-18-137,14.254,1.59,5
maize,US-18-043,12.634,1.429,5
maize,US-18-141,13.586,1.527,5
maize,US-18-149,12.64,1.529,6
maize,US-18-005,13.172,1.511,5
maize,US-18-015,13.359,1.547,5
maize,US-18-163,13.02,1.55,5
maize,US-18-165,13.189,1.567,5
maize,US-18-169,13.4,1.553,5
maize,US-18-001,13.308,1.538,5
maize,US-18-079,13.954,1.574,5
maize,US-18-093,12.561,1.421,5
maize,US-18-155,13.112,1.503,5
maize,US-18-089,13.923,1.463,4
maize,US-18-107,13.9,1.525,5
maize,US-18-161,13.308,1.538,5
maize,US-18-047,13.576,1.553,5
maize,US-18-049,13.832,1.59,5
maize,US-18-057,13.308,1.538,5
maize,US-18-077,14.05,1.574,5
maize,US-18-127,13.422,1.505,4
maize,US-18-019,13.116,1.486,5
maize,US-18-033,13.475,1.551,5
maize,US-18-039,14.032,1.591,5
maize,US-18-045,13.395,1.56,5
maize,US-18-011,13.308,1.538,5
maize,US-18-023,13.308,1.538,5
maize,US-18-063,13.308,1.538,5
maize,US-18-145,13.308,1.538,5
maize,US-18-135,13.308,1.538,5
maize,US-18-153,13.127,1.532,5
maize,US-18-183,13.481,1.567,5
maize,US-18-167,13.08,1.545,5
maize,US-18-025,11.529,1.313,4
maize,US-18-081,13.289,1.54,5
maize,US-18-013,12.011,1.391,4
maize,US-18-087,14.031,1.591,5
maize,US-18-113,13.696,1.589,5
maize,US-18-151,13.786,1.573,5
